strategy,submitted,completed,failed,wall_s,drain_after_last_arrival_s,last_waiting_after_arrival_s,last_active_sample_after_arrival_s,token_throughput,ttft_mean_s,ttft_p99_s,tpot_mean_ms,tpot_p99_ms,e2e_mean_s,e2e_p99_s,waiting_request_seconds,request_preemptions,recompute_tokens_approx
default_fcfs,1263,1263,0,548.51365681272,343.11203094249515,210.81926178144212,343.0136231878206,2128.4848344234074,3.08166717282944,213.20969386067236,29.863042793487505,118.62942236137,29.788867415355185,408.55121249666433,7274.0,85,121754
least_active,1263,1263,0,596.701328956522,391.2997030862972,273.92781881200074,390.42334855304955,1956.5952736215017,4.202943115188392,246.4347503967581,30.161143994835946,162.911191026621,31.975778349726856,398.7727458389103,10300.0,112,196055
token_balance,1263,1263,0,425.25890780519694,219.85728193497206,212.41911422138955,219.73568702259954,2745.39340286979,0.183380587331756,0.24076930696144688,26.469252441966177,30.133234412714863,24.456782807825356,419.92005198603493,69.0,1,15749
