strategy,submitted,completed,failed,wall_s,token_throughput,ttft_mean_s,ttft_p99_s,tpot_mean_s,tpot_p99_s,e2e_mean_s,e2e_p99_s,waiting_request_seconds,preemptions,first_zero_waiting_after_post_s,stable_zero_waiting_after_post_s
default_fcfs,2000,2000,0,1442.9788897158578,2148.3252610926484,110.78840129293548,665.4717058760021,0.05750251504570909,0.7071339708454484,178.71060703199032,768.1219498574545,257251.0,3405.0,657.9200583153608,668.4262189359608
least_active,2000,2000,0,1175.2256467333063,2637.781100690597,103.31838909650874,351.690257599568,0.10160704422713128,1.1731366535038426,180.52730993784078,579.1879738563579,261412.0,3110.0,330.58808059498847,329.54662145834595
token_balance,2000,2000,0,1126.5655416641384,2751.7156218188284,130.99440074393013,357.78770369619133,0.07742620224015898,0.8602839187939256,205.10836288181505,566.3283267038129,308475.0,3418.0,344.4433623857069,352.75637953143746
